Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
When the War Comes Home,Blue Oyster Cult,Club Ninja,1985,6:05,4,0.596,0.745,11,-9.708,0,0.0285,0.0537,0.00429,0.285,0.511,108.251,14
Madness to the Method,Blue Oyster Cult,Club Ninja,1985,7:27,4,0.467,0.788,11,-9.403,1,0.0494,0.246,0.0195,0.269,0.427,120.947,16
Dancin' In the Ruins,Blue Oyster Cult,Club Ninja,1985,4:01,4,0.589,0.691,9,-9.082,0,0.0406,0.0364,0.00306,0.0567,0.63,130.302,33
White Flags,Blue Oyster Cult,Club Ninja,1985,4:43,4,0.446,0.889,2,-8.746,0,0.0533,0.137,0.000234,0.348,0.358,176.285,22
Shadow Warrior,Blue Oyster Cult,Club Ninja,1985,5:42,4,0.544,0.899,9,-8.744,1,0.0644,0.00449,0.000022,0.0769,0.383,125.161,14
Make Rock Not War,Blue Oyster Cult,Club Ninja,1985,3:57,4,0.58,0.882,3,-8.162,0,0.0534,0.138,0,0.324,0.557,131.026,18
Spy in the House of the Night,Blue Oyster Cult,Club Ninja,1985,4:23,4,0.612,0.788,7,-8.041,1,0.0315,0.0829,0.000737,0.0612,0.802,131.625,18
Perfect Water,Blue Oyster Cult,Club Ninja,1985,5:32,4,0.415,0.718,9,-7.882,1,0.0414,0.169,0.00000338,0.343,0.477,128.557,26
Beat 'Em Up,Blue Oyster Cult,Club Ninja,1985,3:25,4,0.579,0.926,0,-7.588,1,0.0658,0.0108,0.0000405,0.0509,0.448,131.816,15
In the Presence of Another World,Blue Oyster Cult,Imaginos,1988,6:28,4,0.266,0.799,0,-9.054,1,0.0647,0.0757,0.00705,0.31,0.232,112.77,19
Astronomy,Blue Oyster Cult,Imaginos,1988,6:55,4,0.372,0.802,4,-8.249,0,0.0478,0.0483,0.000649,0.0806,0.345,134.245,22
Magna of Illusion,Blue Oyster Cult,Imaginos,1988,5:58,4,0.377,0.816,11,-7.512,0,0.041,0.0317,0.0000264,0.0791,0.385,99.453,16
Blue Öyster Cult,Blue Oyster Cult,Imaginos,1988,7:18,4,0.321,0.786,11,-7.313,0,0.0512,0.154,0.0000804,0.0956,0.428,93.227,20
Les Invisibles,Blue Oyster Cult,Imaginos,1988,5:34,4,0.397,0.826,7,-7.287,1,0.0791,0.0176,0.000816,0.105,0.523,115.691,18
I Am the One You Warned Me Of,Blue Oyster Cult,Imaginos,1988,5:05,4,0.255,0.884,5,-7.231,1,0.0654,0.0389,0.0103,0.0885,0.497,114.029,18
Del Rio's Song,Blue Oyster Cult,Imaginos,1988,5:36,4,0.439,0.838,0,-7.195,1,0.0359,0.00105,0,0.56,0.618,131.461,16
The Siege and Investiture of Baron von Frankenstein's Castle at Weisseria,Blue Oyster Cult,Imaginos,1988,6:45,4,0.143,0.88,7,-7.02,1,0.0661,0.0046,0.0722,0.259,0.229,173.119,19
Imaginos,Blue Oyster Cult,Imaginos,1988,5:46,4,0.398,0.927,4,-6.084,0,0.127,0.166,0.000682,0.137,0.388,119.78,16
(Don't Fear) The Reaper - Tv Mix Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,5:08,4,0.404,0.896,0,-10.878,1,0.053,0.000976,0.75,0.0686,0.398,141.243,8
O.D.'d on Life Itself - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,4:53,4,0.587,0.801,9,-10.267,1,0.0395,0.00491,0.0208,0.109,0.646,133.094,8
E.T.I. (Extraterrestrial Intelligence) - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,5:14,4,0.468,0.704,9,-10.188,1,0.0323,0.00291,0.0208,0.213,0.83,96.498,11
Cities on Flame with Rock 'n' Roll - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,4:08,4,0.399,0.707,11,-9.683,1,0.0525,0.0128,0.000942,0.0982,0.642,174.161,13
Burning for You - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,4:28,4,0.515,0.64,9,-9.621,0,0.0317,0.00191,0.0000549,0.135,0.675,134.409,35
Flaming Telepaths - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,6:07,4,0.533,0.699,2,-9.474,1,0.0291,0.00165,0.0000917,0.209,0.704,91.257,12
M.E. 262 - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,3:10,4,0.469,0.905,2,-9.408,1,0.0615,0.0148,0.000145,0.104,0.637,162.995,9
Buck's Boogie - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,6:52,4,0.298,0.9,2,-9.334,1,0.105,0.0271,0.843,0.303,0.321,188.102,10
Astronomy - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,8:46,4,0.426,0.677,4,-9.22,0,0.036,0.025,0.00322,0.354,0.528,88.055,13
Godzilla - Tv Mix Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,3:42,4,0.29,0.69,11,-9.197,1,0.0323,0.00841,0.0891,0.143,0.888,183.11,6
This Ain't the Summer of Love - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,2:45,4,0.57,0.837,2,-8.735,1,0.0345,0.00672,0.000191,0.169,0.81,134.038,8
(Don't Fear) The Reaper - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,5:07,4,0.392,0.919,9,-8.662,0,0.0603,0.015,0.00053,0.136,0.423,141.44,38
Godzilla - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,3:41,4,0.292,0.695,11,-8.627,1,0.0357,0.0365,0.0000511,0.145,0.868,183.073,19
Harvester of Eyes - Remastered,Blue Oyster Cult,Cult Classic (Remastered),1994,3:57,4,0.543,0.866,9,-8.054,1,0.0419,0.0313,0.000818,0.115,0.675,137.031,7
The Old Gods Return,Blue Oyster Cult,Curse of the Hidden Mirror,2001,3:22,5,0.633,0.178,1,-26.287,1,0.93,0.0679,0.00000485,0.348,0.163,101.203,15
I Just Like to Be Bad,Blue Oyster Cult,Curse of the Hidden Mirror,2001,1:22,4,0.754,0.243,6,-16.467,1,0.0642,0.39,0.94,0.137,0.179,140.017,0
Eye of the Hurricane,Blue Oyster Cult,Curse of the Hidden Mirror,2001,3:37,4,0.695,0.218,3,-15.926,1,0.0411,0.718,0.00000114,0.104,0.554,144.352,30
Dance on Stilts,Blue Oyster Cult,Curse of the Hidden Mirror,2001,2:32,4,0.49,0.466,2,-13.85,0,0.0301,0.176,0.821,0.326,0.324,99.965,0
Stone of Love,Blue Oyster Cult,Curse of the Hidden Mirror,2001,3:19,4,0.656,0.37,10,-11.694,1,0.024,0.744,0.0000317,0.0804,0.867,97.381,46
Out of the Darkness,Blue Oyster Cult,Curse of the Hidden Mirror,2001,4:10,4,0.466,0.396,9,-10.376,1,0.0342,0.48,0.0653,0.134,0.0956,77.507,32
Here Comes That Feeling,Blue Oyster Cult,Curse of the Hidden Mirror,2001,2:52,4,0.754,0.708,5,-8.119,1,0.0585,0.351,0,0.0938,0.804,120.895,46
Showtime,Blue Oyster Cult,Curse of the Hidden Mirror,2001,1:18,4,0.786,0.836,4,-5.839,1,0.0633,0.558,0.444,0.684,0.921,92.002,77
One Step Ahead of the Devil,Blue Oyster Cult,Curse of the Hidden Mirror,2001,4:00,4,0.447,0.549,4,-4.852,1,0.0291,0.441,0,0.117,0.327,139.835,0
Pocket,Blue Oyster Cult,Curse of the Hidden Mirror,2001,3:22,4,0.721,0.88,9,-3.896,0,0.0454,0.191,0,0.0769,0.655,110.021,74
Fight,Blue Oyster Cult,The Symbol Remains,2020,3:12,4,0.673,0.771,9,-5.789,0,0.0358,0.0225,0.00463,0.0792,0.491,119.91,14
Florida Man,Blue Oyster Cult,The Symbol Remains,2020,4:08,4,0.661,0.681,9,-5.728,0,0.0268,0.00569,0.00132,0.187,0.669,122.059,25
There's a Crime,Blue Oyster Cult,The Symbol Remains,2020,3:37,4,0.456,0.914,2,-5.61,1,0.0881,0.0001,0.637,0.333,0.638,160.258,11
Train True (Lennie's Song),Blue Oyster Cult,The Symbol Remains,2020,3:57,4,0.574,0.924,11,-5.496,1,0.0481,0.00661,0,0.0957,0.852,143.003,15
Edge of the World,Blue Oyster Cult,The Symbol Remains,2020,4:52,4,0.548,0.797,9,-4.968,0,0.0254,0.00654,0.000228,0.145,0.454,92.008,20
The Machine,Blue Oyster Cult,The Symbol Remains,2020,4:14,4,0.546,0.88,9,-4.875,0,0.0476,0.000541,0.000929,0.136,0.529,129.915,15
Box in My Head,Blue Oyster Cult,The Symbol Remains,2020,3:45,4,0.555,0.949,2,-4.755,1,0.0527,0.00446,0.0000183,0.0701,0.711,140.113,16
Nightmare Epiphany,Blue Oyster Cult,The Symbol Remains,2020,5:30,4,0.581,0.94,0,-4.615,1,0.0372,0.00461,0.000176,0.155,0.636,103.961,18
Secret Road,Blue Oyster Cult,The Symbol Remains,2020,5:24,4,0.612,0.831,9,-4.494,0,0.0312,0.00481,0.000281,0.284,0.63,116.927,14
Stand and Fight,Blue Oyster Cult,The Symbol Remains,2020,4:48,4,0.609,0.872,2,-4.46,1,0.0323,0.000177,0.11,0.0797,0.571,116.049,14
Tainted Blood,Blue Oyster Cult,The Symbol Remains,2020,4:17,4,0.382,0.796,6,-4.449,0,0.0349,0.00413,0,0.0841,0.555,76.054,26
The Return of St. Cecilia,Blue Oyster Cult,The Symbol Remains,2020,4:12,4,0.433,0.896,6,-3.763,1,0.0881,0.00724,0.00236,0.195,0.589,160.208,14
The Alchemist,Blue Oyster Cult,The Symbol Remains,2020,6:00,4,0.238,0.922,11,-3.701,1,0.0921,0.00185,0.00198,0.11,0.298,159.633,26
That Was Me,Blue Oyster Cult,The Symbol Remains,2020,3:18,4,0.587,0.988,4,-2.969,0,0.0533,0.00229,0.264,0.338,0.675,123.99,19
If I Fell,Blue Oyster Cult,Ghost Stories,2024,2:16,4,0.676,0.39,0,-7.574,1,0.0315,0.863,0,0.0913,0.459,110.167,18
Don't Come Running To Me,Blue Oyster Cult,Ghost Stories,2024,3:27,3,0.354,0.805,9,-6.837,0,0.0607,0.0155,0,0.064,0.15,134.43,21
The Only Thing,Blue Oyster Cult,Ghost Stories,2024,4:04,4,0.286,0.675,2,-6.557,0,0.0293,0.0525,0.0195,0.14,0.725,181.08,20
Shot In The Dark,Blue Oyster Cult,Ghost Stories,2024,3:26,4,0.514,0.734,11,-6.337,1,0.0551,0.171,0.0000493,0.0636,0.354,148.534,19
Cherry,Blue Oyster Cult,Ghost Stories,2024,2:38,4,0.33,0.782,2,-5.716,1,0.079,0.105,0.0234,0.256,0.653,160.469,27
So Supernatural,Blue Oyster Cult,Ghost Stories,2024,5:55,4,0.466,0.838,9,-5.464,1,0.0259,0.0287,0.00000474,0.134,0.51,106.581,25
Late Night Street Fight,Blue Oyster Cult,Ghost Stories,2024,3:26,4,0.517,0.928,9,-5.268,1,0.0493,0.265,0.0286,0.307,0.527,129.82,27
Kick Out The Jams,Blue Oyster Cult,Ghost Stories,2024,2:22,4,0.328,0.98,9,-5.265,1,0.102,0.2,0.000302,0.223,0.484,159.223,20
We Gotta Get Out Of This Place,Blue Oyster Cult,Ghost Stories,2024,3:58,4,0.573,0.746,5,-5.245,1,0.0299,0.204,0.000224,0.126,0.695,123.409,25
Gun,Blue Oyster Cult,Ghost Stories,2024,4:27,4,0.543,0.95,9,-5.228,1,0.0404,0.259,0.0193,0.279,0.783,131.317,21
Soul Jive,Blue Oyster Cult,Ghost Stories,2024,2:58,4,0.403,0.72,2,-5.167,1,0.0346,0.379,0.0000691,0.259,0.813,185.87,23
Money Machine,Blue Oyster Cult,Ghost Stories,2024,2:43,4,0.554,0.876,9,-4.864,1,0.0263,0.253,0.0141,0.357,0.58,95.478,18
Song to Woody,Bob Dylan,Bob Dylan,1962,2:40,1,0.53,0.257,9,-13.968,1,0.0332,0.913,0.0299,0.11,0.499,95.538,46
See That My Grave Is Kept Clean,Bob Dylan,Bob Dylan,1962,2:43,4,0.639,0.237,7,-11.157,1,0.0473,0.855,0.00000205,0.0617,0.676,107.67,26
House of the Risin' Sun,Bob Dylan,Bob Dylan,1962,5:18,4,0.528,0.317,9,-10.133,0,0.0285,0.865,0.00215,0.102,0.277,96.446,40
Highway 51 Blues,Bob Dylan,Bob Dylan,1962,2:50,4,0.634,0.505,4,-9.703,1,0.0471,0.841,0.00554,0.0887,0.62,132.521,28
Fixin' to Die,Bob Dylan,Bob Dylan,1962,2:19,4,0.6,0.348,9,-9.66,0,0.036,0.817,0.0000538,0.11,0.655,127.078,28
Man of Constant Sorrow,Bob Dylan,Bob Dylan,1962,3:07,3,0.377,0.397,7,-8.427,1,0.0312,0.817,0.0496,0.187,0.462,108.591,33
In My Time of Dyin',Bob Dylan,Bob Dylan,1962,2:38,4,0.593,0.364,11,-8.346,1,0.0388,0.852,0.00000864,0.148,0.388,125.854,32
Talkin' New York,Bob Dylan,Bob Dylan,1962,3:17,4,0.52,0.443,7,-7.755,1,0.0399,0.811,0.00104,0.0489,0.766,123.9,30
Freight Train Blues,Bob Dylan,Bob Dylan,1962,2:16,4,0.455,0.676,0,-6.533,1,0.0365,0.835,0.00051,0.322,0.517,132.422,27
"Baby, Let Me Follow You Down",Bob Dylan,Bob Dylan,1962,2:34,4,0.519,0.513,9,-6.495,1,0.0328,0.785,0.0039,0.1,0.634,133.622,31
Pretty Peggy-O,Bob Dylan,Bob Dylan,1962,3:21,4,0.448,0.732,7,-6.346,1,0.0366,0.765,0.000474,0.0799,0.741,125.845,27
Gospel Plow,Bob Dylan,Bob Dylan,1962,1:44,4,0.563,0.796,2,-6.217,1,0.0451,0.802,0.00234,0.239,0.968,137.967,26
You're No Good,Bob Dylan,Bob Dylan,1962,1:37,4,0.563,0.679,0,-6.191,1,0.0441,0.825,0,0.336,0.76,123.38,31
Down the Highway,Bob Dylan,The Freewheelin' Bob Dylan,1963,3:24,3,0.473,0.138,7,-21.116,1,0.0706,0.66,0.0000064,0.105,0.416,137.679,39
Blowin' in the Wind,Bob Dylan,The Freewheelin' Bob Dylan,1963,2:45,4,0.38,0.0993,2,-20.567,1,0.0509,0.914,0.0000232,0.0605,0.44,174.874,66
Girl from the North Country,Bob Dylan,The Freewheelin' Bob Dylan,1963,3:19,4,0.538,0.115,10,-19.536,1,0.0335,0.883,0.0000842,0.113,0.312,102.296,48
Bob Dylan's Blues,Bob Dylan,The Freewheelin' Bob Dylan,1963,2:20,4,0.533,0.179,9,-18.796,1,0.0958,0.784,0.000195,0.133,0.851,124.594,38
A Hard Rain's A-Gonna Fall,Bob Dylan,The Freewheelin' Bob Dylan,1963,6:52,4,0.567,0.198,4,-18.681,1,0.0327,0.919,0.000871,0.135,0.321,92.467,53
Oxford Town,Bob Dylan,The Freewheelin' Bob Dylan,1963,1:47,4,0.658,0.218,8,-17.302,1,0.0377,0.876,0.00188,0.16,0.632,106.73,43
"Don't Think Twice, It's All Right",Bob Dylan,The Freewheelin' Bob Dylan,1963,3:37,4,0.6,0.243,4,-17.085,1,0.0366,0.89,0.0022,0.249,0.468,110.535,64
"Corrina, Corrina",Bob Dylan,The Freewheelin' Bob Dylan,1963,2:41,4,0.667,0.209,5,-16.915,1,0.0358,0.847,0.00696,0.0773,0.685,95.311,41
Talkin' World War III Blues,Bob Dylan,The Freewheelin' Bob Dylan,1963,6:25,4,0.566,0.219,10,-16.813,1,0.0578,0.781,0.000154,0.342,0.718,115.861,37
Masters of War,Bob Dylan,The Freewheelin' Bob Dylan,1963,4:31,3,0.556,0.273,5,-15.973,1,0.0372,0.613,0.00000327,0.188,0.692,166.064,49
Bob Dylan's Dream,Bob Dylan,The Freewheelin' Bob Dylan,1963,5:00,4,0.48,0.247,7,-15.929,1,0.0311,0.747,0.00000286,0.0745,0.422,109.646,39
I Shall Be Free,Bob Dylan,The Freewheelin' Bob Dylan,1963,4:48,4,0.64,0.314,2,-12.88,1,0.038,0.86,0.00000572,0.0779,0.798,100.552,37
"Honey, Just Allow Me One More Chance",Bob Dylan,The Freewheelin' Bob Dylan,1963,1:58,4,0.545,0.525,2,-12.606,1,0.0859,0.839,0.00000526,0.256,0.947,119.29,36
Ballad in Plain D,Bob Dylan,Another Side Of Bob Dylan,1964,8:17,4,0.529,0.266,2,-10.451,1,0.0415,0.633,0,0.104,0.223,125.337,26
Spanish Harlem Incident,Bob Dylan,Another Side Of Bob Dylan,1964,2:25,4,0.589,0.368,7,-9.108,1,0.0339,0.749,0,0.0797,0.329,110.495,28
To Ramona,Bob Dylan,Another Side Of Bob Dylan,1964,3:52,4,0.474,0.341,0,-8.877,1,0.0554,0.769,0,0.0878,0.329,165.406,34
Chimes of Freedom,Bob Dylan,Another Side Of Bob Dylan,1964,7:10,3,0.367,0.415,7,-8.857,1,0.043,0.61,0,0.0804,0.402,180.706,31
It Ain't Me Babe,Bob Dylan,Another Side Of Bob Dylan,1964,3:34,4,0.572,0.302,7,-8.573,1,0.0286,0.743,0,0.125,0.389,105.54,47
My Back Pages,Bob Dylan,Another Side Of Bob Dylan,1964,4:23,3,0.443,0.446,3,-8.226,1,0.0326,0.673,0,0.099,0.343,146.681,37
Black Crow Blues,Bob Dylan,Another Side Of Bob Dylan,1964,3:14,4,0.498,0.535,7,-7.794,1,0.0291,0.895,0.000341,0.221,0.631,115.108,25
Motorpsycho Nightmare,Bob Dylan,Another Side Of Bob Dylan,1964,4:33,4,0.708,0.538,7,-7.252,1,0.0431,0.773,0,0.11,0.714,108.165,26
All I Really Want to Do,Bob Dylan,Another Side Of Bob Dylan,1964,4:05,3,0.327,0.434,9,-7.007,1,0.0318,0.793,0,0.0942,0.343,178.539,34
I Shall Be Free No. 10,Bob Dylan,Another Side Of Bob Dylan,1964,4:48,4,0.666,0.486,7,-6.981,1,0.041,0.844,0,0.0401,0.702,104.31,25
I Don't Believe You (She Acts Like We Never Have Met),Bob Dylan,Another Side Of Bob Dylan,1964,4:23,4,0.524,0.554,2,-6.954,1,0.0499,0.654,0,0.143,0.67,132.8,27
Boots of Spanish Leather,Bob Dylan,The Times They Are A-Changin',1964,4:37,4,0.615,0.114,8,-17.285,1,0.0357,0.926,0.000004,0.166,0.401,101.189,47
North Country Blues,Bob Dylan,The Times They Are A-Changin',1964,4:30,1,0.626,0.142,10,-17.197,1,0.0371,0.958,0.00000181,0.105,0.604,83.139,33
One Too Many Mornings,Bob Dylan,The Times They Are A-Changin',1964,2:37,4,0.475,0.115,0,-16.284,1,0.0339,0.785,0.00794,0.12,0.25,103.753,43
Restless Farewell,Bob Dylan,The Times They Are A-Changin',1964,5:32,4,0.48,0.122,4,-15.867,1,0.035,0.898,0,0.102,0.284,101.611,30
Ballad of Hollis Brown,Bob Dylan,The Times They Are A-Changin',1964,5:02,4,0.683,0.312,3,-13.588,1,0.0371,0.912,0.000123,0.0996,0.519,111.468,36
Only a Pawn in Their Game,Bob Dylan,The Times They Are A-Changin',1964,3:29,3,0.571,0.207,9,-12.472,1,0.0442,0.816,0,0.121,0.649,86.395,33
The Lonesome Death of Hattie Carroll,Bob Dylan,The Times They Are A-Changin',1964,5:44,3,0.523,0.177,4,-12.411,1,0.0395,0.884,0,0.276,0.236,140.116,35
With God on Our Side,Bob Dylan,The Times They Are A-Changin',1964,7:04,3,0.47,0.222,0,-12.352,1,0.041,0.725,0,0.22,0.291,116.487,37
When the Ship Comes In,Bob Dylan,The Times They Are A-Changin',1964,3:14,4,0.58,0.421,2,-9.161,1,0.0315,0.867,0,0.205,0.347,114.725,35
The Times They Are A-Changin',Bob Dylan,The Times They Are A-Changin',1964,3:12,3,0.389,0.396,7,-7.999,1,0.0332,0.887,0,0.0828,0.585,171.86,64
"It's Alright, Ma (I'm Only Bleeding)",Bob Dylan,Bringing It All Back Home,1965,7:29,4,0.681,0.257,4,-15.348,1,0.0695,0.597,0,0.161,0.566,115.867,43
Gates of Eden,Bob Dylan,Bringing It All Back Home,1965,5:40,3,0.44,0.213,7,-14.978,1,0.0502,0.527,0,0.103,0.434,181.339,33
"It's All Over Now, Baby Blue",Bob Dylan,Bringing It All Back Home,1965,4:12,4,0.698,0.197,4,-14.792,1,0.0383,0.655,0,0.0716,0.361,122.864,48
Mr. Tambourine Man,Bob Dylan,Bringing It All Back Home,1965,5:30,4,0.39,0.31,5,-14.545,1,0.0676,0.794,0,0.379,0.584,177.515,60
She Belongs to Me,Bob Dylan,Bringing It All Back Home,1965,2:46,4,0.729,0.382,9,-14.07,1,0.0367,0.696,0,0.152,0.639,112.179,45
Love Minus Zero,Bob Dylan,Bringing It All Back Home,1965,2:51,4,0.702,0.56,4,-12.323,1,0.0342,0.571,0,0.109,0.889,125.452,41
Maggie's Farm,Bob Dylan,Bringing It All Back Home,1965,3:54,4,0.415,0.72,7,-11.177,1,0.0492,0.481,0,0.185,0.619,176.785,41
Outlaw Blues,Bob Dylan,Bringing It All Back Home,1965,3:04,4,0.655,0.71,9,-10.877,1,0.0281,0.724,0.00000676,0.13,0.886,89.658,34
Bob Dylan's 115th Dream,Bob Dylan,Bringing It All Back Home,1965,6:29,4,0.666,0.617,7,-10.851,1,0.0628,0.565,0,0.0498,0.764,105.648,36
On the Road Again,Bob Dylan,Bringing It All Back Home,1965,2:35,4,0.769,0.646,9,-10.723,1,0.0685,0.57,0,0.137,0.783,118.773,34
Subterranean Homesick Blues,Bob Dylan,Bringing It All Back Home,1965,2:21,4,0.576,0.727,4,-9.973,0,0.05,0.702,0,0.324,0.751,173.854,56
Just Like Tom Thumb's Blues,Bob Dylan,Highway 61 Revisited,1965,5:27,4,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,41
Ballad of a Thin Man,Bob Dylan,Highway 61 Revisited,1965,5:56,4,0.473,0.574,11,-8.189,0,0.032,0.695,0,0.509,0.499,74.056,48
"It Takes a Lot to Laugh, It Takes a Train to Cry",Bob Dylan,Highway 61 Revisited,1965,4:05,4,0.493,0.579,8,-7.743,1,0.0319,0.772,0.0000806,0.0759,0.475,93.353,41
Tombstone Blues,Bob Dylan,Highway 61 Revisited,1965,5:56,4,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,42
Desolation Row,Bob Dylan,Highway 61 Revisited,1965,11:21,4,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,44
Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,1965,6:09,4,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,69
Highway 61 Revisited,Bob Dylan,Highway 61 Revisited,1965,3:25,4,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,42
Queen Jane Approximately,Bob Dylan,Highway 61 Revisited,1965,5:27,4,0.369,0.691,0,-6.234,1,0.0387,0.778,0.0000139,0.327,0.382,104.371,43
From a Buick 6,Bob Dylan,Highway 61 Revisited,1965,3:15,4,0.287,0.72,0,-6.231,1,0.0347,0.756,0.00000341,0.263,0.709,176.302,39
Fourth Time Around,Bob Dylan,Blonde On Blonde,1966,4:32,3,0.365,0.508,4,-12.103,1,0.0319,0.0793,0.0000404,0.15,0.623,155.741,38
Sad-Eyed Lady of the Lowlands,Bob Dylan,Blonde On Blonde,1966,11:19,3,0.301,0.385,2,-10.755,1,0.0323,0.604,0,0.0799,0.275,171.836,39
Visions of Johanna,Bob Dylan,Blonde On Blonde,1966,7:31,4,0.59,0.484,9,-10.424,1,0.0339,0.321,0,0.0625,0.652,93.428,45
Just Like a Woman,Bob Dylan,Blonde On Blonde,1966,4:50,4,0.563,0.441,4,-9.902,1,0.0437,0.773,0,0.351,0.468,115.168,49
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan,Blonde On Blonde,1966,7:03,4,0.466,0.747,9,-9.882,1,0.0473,0.301,0,0.12,0.628,135.527,44
Temporary Like Achilles,Bob Dylan,Blonde On Blonde,1966,5:00,3,0.367,0.392,7,-9.745,1,0.0319,0.249,0,0.105,0.43,121.661,34
One of Us Must Know (Sooner or Later),Bob Dylan,Blonde On Blonde,1966,4:52,4,0.431,0.626,5,-9.46,1,0.0319,0.547,0.0000614,0.364,0.762,96.494,40
Leopard-Skin Pill-Box Hat,Bob Dylan,Blonde On Blonde,1966,3:56,4,0.572,0.592,2,-8.639,1,0.0322,0.304,0.00000112,0.106,0.968,97.475,37
I Want You,Bob Dylan,Blonde On Blonde,1966,3:05,4,0.509,0.68,5,-8.354,1,0.0372,0.36,0,0.0824,0.802,99.924,54
Pledging My Time,Bob Dylan,Blonde On Blonde,1966,3:47,3,0.492,0.646,2,-7.702,1,0.0432,0.686,0.000153,0.372,0.693,104.394,36
Absolutely Sweet Marie,Bob Dylan,Blonde On Blonde,1966,4:54,4,0.565,0.738,2,-7.526,1,0.03,0.223,0,0.111,0.806,134.109,36
Rainy Day Women #12 & 35,Bob Dylan,Blonde On Blonde,1966,4:34,4,0.556,0.592,5,-7.378,1,0.0337,0.458,0,0.0637,0.587,94.887,43
Obviously Five Believers,Bob Dylan,Blonde On Blonde,1966,3:33,4,0.352,0.856,2,-7.132,1,0.0642,0.296,0.00000375,0.068,0.704,189.846,33
Most Likely You Go Your Way (And I'll Go Mine),Bob Dylan,Blonde On Blonde,1966,3:27,4,0.598,0.885,7,-6.904,1,0.035,0.579,0,0.348,0.96,111.89,36
I'll Be Your Baby Tonight,Bob Dylan,John Wesley Harding,1967,2:39,4,0.512,0.23,0,-16.412,1,0.0301,0.454,0.000139,0.0508,0.457,127.567,38
I Pity the Poor Immigrant,Bob Dylan,John Wesley Harding,1967,4:13,3,0.494,0.167,5,-15.389,1,0.0331,0.44,0.000204,0.123,0.366,128.684,26
Dear Landlord,Bob Dylan,John Wesley Harding,1967,3:14,3,0.429,0.225,2,-15.342,0,0.0396,0.617,0.00000603,0.112,0.457,238.895,26
The Ballad of Frankie Lee and Judas Priest,Bob Dylan,John Wesley Harding,1967,5:32,4,0.481,0.372,0,-14.03,1,0.0576,0.811,0,0.0908,0.335,150.764,31
As I Went out One Morning,Bob Dylan,John Wesley Harding,1967,2:49,4,0.67,0.352,4,-13.892,1,0.0368,0.124,0.0000922,0.0649,0.87,131.138,31
I Am a Lonesome Hobo,Bob Dylan,John Wesley Harding,1967,3:21,4,0.617,0.283,7,-13.367,1,0.0331,0.107,0.000209,0.15,0.469,119.204,25
I Dreamed I Saw St. Augustine,Bob Dylan,John Wesley Harding,1967,3:52,4,0.411,0.282,5,-12.909,1,0.0462,0.626,0.00000207,0.0939,0.554,176.191,30
Drifter's Escape,Bob Dylan,John Wesley Harding,1967,2:46,4,0.637,0.535,9,-12.668,1,0.0342,0.493,0.0000317,0.262,0.842,132.458,27
All Along the Watchtower,Bob Dylan,John Wesley Harding,1967,2:31,4,0.581,0.41,1,-12.617,0,0.0303,0.475,0.0000204,0.0746,0.697,129.175,54
Down Along the Cove,Bob Dylan,John Wesley Harding,1967,2:21,4,0.656,0.486,11,-12.536,1,0.0452,0.649,0.000452,0.128,0.886,90.881,25
John Wesley Harding,Bob Dylan,John Wesley Harding,1967,2:57,4,0.579,0.479,5,-10.348,1,0.0294,0.206,0.00211,0.163,0.937,135.459,31
The Wicked Messenger,Bob Dylan,John Wesley Harding,1967,2:02,4,0.436,0.419,2,-10.272,1,0.0297,0.432,0,0.0759,0.831,170.034,24
Girl from the North Country,Bob Dylan,Nashville Skyline,1969,3:40,4,0.607,0.142,7,-23.455,1,0.0382,0.843,0.000197,0.121,0.305,118.867,63
Nashville Skyline Rag,Bob Dylan,Nashville Skyline,1969,3:11,4,0.544,0.376,0,-22.38,1,0.033,0.314,0.798,0.161,0.732,121.264,37
"Lay, Lady, Lay",Bob Dylan,Nashville Skyline,1969,3:17,4,0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746,61
