text,sentiment
 congrats mollie just wish i could have got some tickets,neutral
 Right here Army Wife in Germany I cant STAND that I cannot be there this summer,negative
Oh no  I wanted to go to sea but today the sun is not here  SIGH,negative
 its a good mix of developers content developers providers and venture folks,positive
 is it done,neutral
my deep fry drumsticks were not as good as i thought they would be,negative
 awesome run report   Did you see the bald eagle on the lighthouse  That was their hangout when I last ran Discovery Park,positive
 lol thanks babe,positive
This weather is awful I just want to curl up and read a book all day,negative
lipz I dont know  I havent heard from Lorraine recently,neutral
Is going to sleep Good night everyone,positive
andjay hi   your job,negative
 what you laughing at over there  got strawberries,neutral
Im cooking meatballs for lunch  yaaayyy ,positive
 No tango icons in this revision,neutral
does anyone know where I can watch the prison break tv movie Its not on itunes,neutral
 shes in LA wanting sun today but apparently LA isnt cooperating,negative
sittin on d bed about  fall asleep,neutral
Watch Jay Leno tonite  Its his last day as the Tonight Show Host,neutral
responding to more questions at Thou Shall Blog I appreciate this community,positive
 I knowww yur mother is being a  and she doesnt want to take me to the movies  ,negative
Learned a lesson the hard way Lost my USB stick and backup was a month old,negative
michael scholfield is no more He is dead I am sorry,negative
  i want to go here,neutral
 I will be ok when I have been to the drs again today and got my essay done  x howre you x,neutral
is going to forgo Pub Night with the wife tonight Tough week for both of us and neither is really up for it Plus our neighbor died,negative
 i love youuuuu nick santino thirteen dayssss,positive
Cant believe Venus lost A real shame Smh I think im getting sick  Had such a  week doesnt look like the wknd is gona be better,negative
sittin at home watchin monster inlaw waitin for pizza yum yum,positive
I hope I get the job so I can have some steady income and start eating well again All the cheap food is horrible for you,neutral
 I WISH I could be in bed by nine once in a while I never make it in before  am  sleepdeprived Doing too much,neutral
seriously increasingly good nights stoked on life couldnt be happier  goodnight,positive
Spent the night finally relaxing with Nogard on WoW after finishing some work Needed to take a small break from art I really missed this,negative
 im hear ya dude i cant either,neutral
 Sorry about the weather hopefully youre not in the  hour wx delays here in BWI,negative
Supernatural was good as  Loved it,positive
 Sorry that was a bit negative,negative
 yes I do Because he is going to the marines to protect  serve and leaving me,neutral
 school trip to Phuket Thailand I was  while living in Singapore,neutral
 so what cereal do you usually like,neutral
 haha  cute ps thanks for the reply made my day haha,positive
I slept at  yesterday,neutral
Now have an unpleasant talk wnlaws  look  ,negative
ehbut Ill be picking cotton soonneed to suppliment my income,neutral
Im sure all you people with hangovers will be glad to know Im hangover free   hope youre not too fragile this morning,neutral
 how tough was that just wanted to hug her like my own,negative
ohmy foots hurting now About  minutes after I took it out though,negative
 lmao You baked nonstop Sounds like yummy fun,positive
  you have every right to feel like a crazy fanboy jason mraz and james morrison the jealousy is tangible,neutral
 you guys are an awesome couple,positive
 You may be PC but I love you anyway  Maybe someday you too will become Mac,positive
 well im a little bit sick but im fine,neutral
 go for the  that you want to go to most my bro had to switch when he did his  time  its  ,neutral
 Workin ur crazy sched has to be tiringits gotta  be hard being famous  but jus kno u have Bazillionz of fans supprtin u,neutral
Hum  for Bill Bailey,neutral
i dont know what to do time is going by so fast,negative
 This is true Clean clothes is a VERY good thing   Enjoy your day Love your new avatar BTW,positive
 See Sucked you right in  The only problem will be churchSunday race conflicts but thats why God gave us DVR D niffer,negative
is going to Rye House Speedway,neutral
thanks so much for the discount code looking forward to trying your pads out,positive
feeling like in  again  watching TWILIGHT  enjoying it,positive
I feel actual heartbreak Gates last night  x,negative
OMG its JULYS LAST DAY,neutral
Wedding,neutral
Reece naw missed it and the video cool looking sexy,positive
 Momentum works  But Jeff will have a hard time from ,negative
 looks like  is hiding money in an offshore bank account on behalf of lastfm   ,neutral
have an extra Justin Rutledge ticket for the Mod Club tonight,neutral
 Happy Birthday I hope you are doing well and had a great Birthday day,positive
 My name is Chad but I wont be here tomorrow,neutral
 aww  but typing from beyond the graveimpressive,positive
I am in school Absolutely I have been sick  I want to go home  we are writing of geography the best it will,negative
  caught me at lunch today you were correct of he stalking me,positive
  what i have to resort to wearing today cause i havent finished my laundry lol,positive
 I could do with another one now myself was back to work on Monday after being off for  weeks  not good,negative
 I just found out  minutes ago  mama said his speech is still slurred but he seems to be doing ok,neutral
 Sorry to hear that man  He is were the  cant reach him now My heart goes out to you and your family,negative
suchatease,neutral
TODAy SUCKs   Ã¯Â¿Â½you and katey broke up Yah Kate Broke up with me  ItÃ¯Â¿Â½s been awful nd Vodkas ,negative
Updating Maven Dependencies I know this is a good thing but would be better if it happened when I was asleep,positive
 argtried one pic but she moved so i failed to save itthen they never showed her feet again  but they were purty,neutral
 Yeah my dad calls me Taltal but it was taken on AOL back in  so I added a K for my last name coincidence is Tal Talk,neutral
I dont wanna go back to work   sleepy time,negative
 NKOTB world is the best place to be,positive
Pinkberry,neutral
 i am so jealous,negative
Almost made it to reading comedy outlet Headlining all weekend Only took me  extra hours with traffic Basically doubled my time,negative
 tis coolI still stand by my former proclamation Im just stubborn that way rebellioustwitwhoknowsacoolcatcook lol,neutral
 Congratuations Sweetie,positive
 ohh yeahh with the showcase he said his artist will be outta town  so keep me posted as to the next one,neutral
 Huh PR from  to ,neutral
Hey thanks for the follow wow this is exciting a new tweet,positive
New picture isnt working,negative
Im hungry And single  heading to the golfing range soon,negative
 Cool Sound Luv Drama Love Game doesnt work on ur myspace    Wish Good Luck XoXo from Spain,positive
Tbones gone to sleep Think were gonna join him,neutral
 are you kidding me that looks incredible Lay out and swim a lot for me stuck in the cold NYC,positive
cant upload a picture I already hate twitter,negative
 I know Im so slow its horrible DONT TELL ON ME,negative
 congrats hey,positive
 lol u better hurry up cause your  is running late and whats for breakfast,neutral
going thru bills,neutral
 no omelette today  dim sum tomorrow FEAST,neutral
thinking of getting new dvds csi  cant wait to get my laptop,neutral
is going to help lancey cook,positive
 heard through the grapevine that we might see you around today Looking forward to meeting you,positive
 diggin your moustachio Looking good daddio,positive
 Im good thanks Did you have a good drive Careful with your blackberry we dont want you getting screamed at,positive
 hiya hows your week been just tried to DM you but your not following  x,neutral
 FANTASTIC IDEA you the man but Ill end up all lonely when the tourist goes home,neutral
Happy Mothers Day  ,neutral
Im up getting ready for skill cant wait to fail my bio final yay ugh honor classes suckkkk  ,negative
sorry for taking over twitter with my icantsleepness,negative
I miss vlogcandy,negative
class is almostt over,neutral
Another day  Casino de Montreal,neutral
Morning Bank Holiday Monday and the sun has gone  typical Hospital for knee at  and then training at  Another  bust day,neutral
 It saddens me youre youtube has changed Its just like every other youtube kid you used to be different,negative
just found out i have strep,neutral
I wish I could spend my last weekend as a high school student in burbank with everyone and not fly off to dc,positive
 thanks for adding me glad to have you,positive
 Right now it is   Ugghhh,negative
nice weatherlooks like its going to rain here in  Delhi,positive
   Paranoid I actually like it better performed live rather than the studio version,neutral
going to the lumberjack party,neutral
Thank you OpenDNS for saving me from Comcasts crappy DNS server My internet is back up to par finally,neutral
 i believe that you are,neutral
shower before doctors appointment,neutral
 Hahahah I will be using that saying from now on,positive
 Homework bound for the whole weekend not so fun,negative
 Good luck whit the show tonite man ill be watching,positive
i should be bus stalking right nowi soo wish i were still meeting  today,neutral
finally got my SayNow account up and running  YAYY JBs got a Canadian SayNow number is anyone else using their landline phone CALL ME,neutral
I hate it when I am in pain,negative
 Did I miss you going to The Killers or is it soon Are you excited I remembered I needed to ask you,neutral
just woke upfor  once I managed to sleep in going out for lunch later then back to essay,neutral
R Drivein srsly jealous  I have never ever been to one  there is one down the rd but its no longer operational ,negative
 chill its da rihanna bob If it was  in Id have no problem Lol R u at school all summer,neutral
Wonders why its so hard for me to concentrate,negative
I feel bad over everything  How can I be so stupid Why was I so harsh Its my fault I know it Im sorry SaVvy love you ,negative
Good Morning  i ate pizza for breakfast,positive
And the city I love Tucson is the  most miserable  ,neutral
cant keep eyes openshuts eyes,neutral
and all woman who transfer their first impressions sexualmaternal onto a less threatening man  are themselves as weak as Him,negative
 Sorry you are having a bad week I feel like if I could get good sleep I would be so much better too Fog,negative
goodnight twitterville really enjoyed pearl harbor now off to sleep and cuddle with my hot man  i will have good dreams tonight XOXO,neutral
cant believe the weekend is over already  Where does the time go  Had a nice day with the fam today  Mum had a good day too,positive
At branding iron with drea White boubous and  can get down Haha crunk For the next couple hours Haha fun times,positive
is hanging with BryantHailee possibly Lafayette tonight nd i dont know why i keep updating this because i have  followers,neutral
Happy mothers day mom i love yew,positive
i  my new picture its so pretty with the reflecting sunlight on the leaves,positive
wow  pm rolled around really fast I accomplished only one thing on my to do list today,negative
 yeah gives me something useless to crib abt,negative
Worst day ever And its only noon,negative
 Video a challenge when shot in notsoscenic conference room with no mic but thank you  Loved your Grant Park house  DOGS,positive
Blue Oyster Cult  I Love The Night thats when all my friends are around   ,positive
 Haha  you not inviting me,negative
Phatass hopefully youre up before  as meeting is at ,positive
Hope ur all havin a nice Friday Been feeling down this past week since my dogs passing,neutral
 baby Im in maryland Im NOT gonna make it  BUT I will see ur sexy  next sat in camden VIPcome early n hang,positive
wearing a pair of trousers that were loose last year tight this year,negative
 i wont make u cry,positive
Got the sniffles   I SO dont want to get sick  I dont need this,positive
will maybe have my cell phone soon  Yeah ,positive
 NO WAY i didnt know he was singing ROF thats without a doubt my fave he has done on idol thus far EEPfangirl moment,positive
had a  contact with both parents   grrr,negative
 Im soo jealous right now,negative
HollowbabesHere comes the utter shite bgt I completely agree,negative
missing my bffls missing my friday night dates  hot dogs for dinner then who knows what the evening holds,negative
  a good girl nevah tells hahahahaha hope you had a good weekend,positive
 Is the Bee to Busy to talk to his buddy on Yahoo,neutral
 or a punch the shape of the card on a card on a card on a card and then ask people what it is for free cards,neutral
Woke up and its bank holiday monday so no college got a text from tom via jasons mobile earlier today so im hoping they turned up,positive
 contand then it goes to waste  no one likes stale sweets That reminds me of this cute song called Stale Cupcakes lol,neutral
Mcfly how cool will that be  she is so nice Bless her so what ya upto Love you L XoxoX,positive
 Keep the suggestions comingI love the classics,positive
cant sleep again I couldnt sleep last night eather  Wabble Wabble,negative
tonight my bed has been the Enterprise and I was Mrs Kirk,neutral
going to take my last final  wish me luck ,positive
I just realized that im going home  weeks from today,neutral
my girlfriend still likes sesame st and so do I,positive
time always seems to fly when im with wade its weird but i like it a lot,neutral
Just planted flovers in the school garden with my  yr oldVERY MUCKY but GREAT FUN,positive
 aww can you tell her to follow me,neutral
  does the Creepy Lolipop guy play head esploder   ,neutral
I wish  I could choose what bands played trash on june ,positive
 Sounds great Im looking forward to it then,positive
 I think that boat sailed my friend The few CCOs that had them had them months ago  I wish you luck though,positive
awwww bless her  she needs another chance,positive
 is nto milk deffo,neutral
We are in the State of Cheese  YUM Green moocow pastures everywhere and super friendly Lutherans too,positive
bye bye for now you lovely tweeters and especially my followers,positive
Heading home from Sacramento  Will continue writing the WIndows Server   Unleashed book over the weekend  Sigh  windows,neutral
i won because im awesome,positive
Off to class Be back in about  hours,neutral
 Yucky  Time to bring out the vaccuum and go to War Our house is always a spider haven for some reason Not cool,negative
 Problems seem to be fixed now Thank you,positive
Hmm the new sports catalog and card jitsu updates are not appearing for me,neutral
is not getting her posts posted to the topics,neutral
Oh and thank alllll of you who put me in ur Follow Friday  to all of my new followers I usually do it but todayIm just too tired,negative
was gonna go to my brothers show but still feeling like poo ,negative
Comment my new myspace pictures plz,neutral
 Im not feeling very inspired todayI was suppose to be  the Bham concert tonight,negative
Hey  Ill be in sa then  maybe if we cross highways we can grab lunch,neutral
Battery is going to die,neutral
Happy Mothers Day to all the mommys out there,positive
on my  written  i get less ideas every day and every day,negative
Back at home and phone my grandma I love her and miss her,neutral
 haha i love both of them too  hmm lol im in need of some good bands too,positive
All ready for costume making But theres no one here,neutral
Happy Birthday Mommy,positive
 You are too kind I swear Im always feeding someone,positive
 good tip but then my boss would read  exactly what im supposed to do and would know where I was with the project,positive
 Star Trek is really good I loved it too,positive
on my way to work working sucks big time,negative
finally gonna get sum sleep  that concert was crazy God Bless those ministers,positive
IN RF   target   OUT DNDN  near days low,neutral
SF felt WAY too intense for me tonight Hope that doesnt keep up Upset with myself for not hanging with  and pearl,negative
 oh so this could well be your last post,neutral
 we are tooo fly boo,neutral
 most of the time,neutral
school  i wish it would just end already,positive
  Former Pawnshop were Jimi Hendrix got his  guitar Seattle Now a check cashing joint,neutral
 thats sad  what kind of mess are you getting into this weekend,negative
why are matters of the heart so complicated,negative
haha Im bored I think Ill go watch a movie  BBL,negative
I am very bummed that there are no babydoll or spaghettistrap tank Three Wolf Moon tshirts Love the meme hate wearing a fabric box,neutral
 oh Yeahyour mom told be about that  I thought you meant his twitter ID  I was very confused That sucks Sick,negative
And i aint happy go lucky its just today The world dont feel ugly,neutral
Editors read this and nod writers read this and take notes  ,neutral
shift time  bbye biochem waaaaahhhhhh ,neutral
Happy Mothers Day Havent got mom a present yet Print off an Amazon Gift Card for her  ,positive
 thanks for your follow  just do you own thing  join in with what interests you,positive
Jen LOL  I know seems that the whole fabric of our earth will now unravel  lol  I guess people have never seen bambi,neutral
im going to work,neutral
 We decided Id probably forget I had it in my pocket and sit on it by accident,neutral
 Im now a member of the street,neutral
 lol we are going to place called frosties its a soft play centre it knackers them lol then i get peace for the gym  lol,neutral
fell on the sidewalk in harvard square  stupid cobblestones  now my hand hurts,negative
 aw honey you just relaxin Thats probably for the best,positive
 coooooooool yes CIWWAF are awesome,positive
either my inerne is  or my mind is but im pretty sure that its the internet,negative
My dog is sick I love that little doggie Hes usually so keen and happy but he doesnt even want to go for a run in the forest today,neutral
Mitchell ive never been to the opera beforedont think that was me,neutral
  I was SUPPOSED to be cominglife got in the way lol give my friends a wild time,neutral
ready for the weekend and sad that I have to be at the office again tomorrow morning,negative
  Im  work and missed everythin yesterday but dont know wot Anybody,negative
is sad that greg pritchard didnt make it through to the final of britains got talent coz he soooo deserved it,negative
is lets chat,neutral
Control which tweets u post on Facebook by using a hashtag check out this awesome easy app  ,positive
Baby was not herself after recieving vaccines,neutral
Heading home Could really have done without banging my head on the way into the bus,negative
distel Maybe u have natural ability for languages  I envy u on that ,negative
The cats are gone All  of them,negative
You such a good friend  I miss you so much,neutral
My Boy is leaving for the Summer Going to stay with the Grandparents Im gonna miss him,negative
It looks as though I am sick little friends,negative
 bored,neutral
Only just past  and already been spoiled rotton,negative
 wheniwerealad can you explain how that worked lol  and no rude  explanations pleeezzze,neutral
Insomnia at its finest Go to bed at  fully awake at  Grrr Anyone want to call mee,negative
I read The Picture of Dorian Gray by Oscar Wilde on english Its not easy for me but I try to make out,neutral
I had the worst dream ever the Lakers were losing   ZIP   Courney Cox had a mohawk wtf,negative
oooh battlestar galactica is on the other channel its the rebellion episode man i feel so sad about what became of gaeta  i liked him,neutral
 sorry  didnt mean to   hope you can think positivly about being  and looking back on ,negative
I am chillin w my homies,positive
 Dude youre always going to midnight screenings xD I wish I lived in a city Well I do until tmrw but its rubbish,neutral
dont think that went well was only in there for  mins,negative
i really want a blackberry  my sidekick is hella wack night,negative
 Im glad you liked it   Want more,positive
 sorry i couldnt fit hals name,negative
just watched that  new Tmobile advert on Youtube i love it  hey jude,positive
 how long did it take you to learn the song,neutral
 man that sucks,negative
Morning world Hello Bank Holiday Cold and grey and rainy here Feel like colouring thanks to  so might do that this am,positive
just got back from the pool need to ice the knee,neutral
Mel Where Are You You Shud Be Here At My House,neutral
 lol ik they are but i figure ive kept it for a year without needing virus software or to get it fixed  sigh,neutral
I am soo happy Thank you baby for the best  days of my life,positive
 LOL About to leave,neutral
 aww  its okwe ended up getting in later than expected and didnt goI would of called you if we were able to C U N Austin,neutral
 well that does make me feel better about staying up even later to watch the daily show   lay on the guilt again,neutral
 Not a problem at all sis  respect due,positive
   Sure  My entire blogroll is terribly updated but this could motivate me to update and redo it,positive
anstee i hope its in expo that would be amazing im trying so hard to make perfection so it is,positive
Im really nervous about giving a speech at a wedding tomorrow,negative
 nm dang you on NOW but i gotta bounce in like  minutes  im just chilling the usual,positive
Ooopps over slept Is it really  Best get up then and get my shizzle in gear,neutral
Reviews THANKS,positive
Sitting wondering  wishing for a bunch of stuff that will never be,neutral
shower time,neutral
lousy  landlord   need to focus on kids packing but cant  nevermind sew sleeping bag,negative
 Going so soon I was hoping to hear late nite humor from you,positive
I am so full No more food tonight I dont want no cake and ice cream at this party,neutral
 that sucks mama,negative
 I wish you werent going to a  venue in Vancouver,neutral
 It is absolutely incredible Its official My FAVORITE JONAS is FRANKIE He is the man,positive
Happy Birthday to my ,positive
 I didnt mind the movie myself may be because Im not that big a fangirl myself,neutral
 Im not going sadly  Maybe next year eh,negative
surgery effin hurts,negative
 Can you please  with that Id love some egg bacon ranch bed for giving birth  times in  years,positive
So bored need more people for rsmv   jagex doesnt let u say RSMV unless its the first word u say in the sentence sad,negative
 we have some kind of bugs in our house And we dont know why or what it is,negative
Almost lost my phone,neutral
   Thank you Mr President,positive
 Ooo showing of your French skills lol Things good over here Lovely weather so should be outside  Hows u,positive
The Star Trek movie was amazing omg everyone has to go see it,positive
 happy birthday,positive
Anotha day of work  not lookin forward i hate closin fri,negative
Im entering a two month studyexam period  Which is awesome  See you on the flip side,positive
 its best if i check it while it IS up when its down i cant really see anything,positive
working from home office today and catching up on everything except twitter,neutral
Lil cuz coming round today she   aww  haha,positive
My stomach effing hurts Sadly therell be no gym class this afternoon,negative
Gotta go now  im going to Circus  the real Circus not Britneys Tour  sadly ,negative
 the next single is Hey Ladyok where is my million dollars,neutral
Goodmorning twitter bugs happy monday to you all Today marks my first official day at my first fulltime job time to get ready,positive
 I have my  class   school what time you work wed if jade comes ima have to get her in antioch at amtrak,negative
is backbeen feeling ill and extremely busy all week happy mothers day to all you mamas out there,neutral
old mes dead and gone,negative
its you and me forever  its you and me right now   flywithmeobsessive Im crying,negative
 sounds like the muffler bearings are going bad,negative
No credit left on my mobile sorry Brit pounces back Thanksss Tania for the EPIC photoshoot,neutral
On a day like today I would wear shorts and tshirt but now Im at DHQ its office wear,neutral
can I just go to sleep and wake up in December when my house is all organized and the baby is here feeling like poo today,negative
 I think they make you turn your phones off  Ill see what I can do,neutral
I wish I had company,negative
  aaaawww  would u like an alcoholic beverage of your choice,neutral
  My Power was cut off  thats where i went,negative
looks like it got cloudy again outside and i have nothing to do tonight boo friday,negative
Home early yeh work to do over the weekend  not happy so much  a ,negative
It was going to happen one day but I so feel for the girl AND her mum,negative
Stupid idiot who ran a stop sing and almost killed me and my car,negative
 didnt have my camera with me  totally regretting it now,negative
 awww I wish I could have been there  Im stuck here about to jab out my eyes with knitting needles,neutral
 braving the standby line  TheView bright  early today hope to hear about your book  hope I get in  times the charm,positive
 Good Luck,positive
im bored RC is goin maintenance,negative
 can you follow me please,neutral
youtube not working,neutral
Howdyyy,neutral
Apple is expected to launch a new iPhone this summer  Hi my name is Judy and I am addicted to Apple products,positive
  i definitely will  although with the caveat  that i normally only read non fictionbut have more in recent years read novels,neutral
going through security already miss my baby,negative
I dont ship out until October,neutral
Clambering about in crashed cars Hilarious fun,positive
  yep jimmy buffett FTW jimmy needs to tweet his words of wisdom every morning,neutral
maaategrooovin was off the chain uploading videos to youtube    go watch,neutral
 Immigrant hid passport in pants What a genius,positive
 LOL good to know the time in LA its a  time difference   good morning to ya,positive
nursing my scratches and bumps from Festivus mud wrestling I swear theres still dirt in my hair but a good time was had by all,negative
 lol awww lol i will i cant do it now lol cauz i have to work  but i will make one and tell you love you  oxoxoteambreezy,positive
 she said no,neutral
I cant believe how fast this week has gone by,neutral
 Soooo happy your back,positive
Listening to Obama with one ear  listening to music with the other,neutral
  finally someone spreading the Hayley Love via Twitter Welcome to the club Taylor,neutral
 man  months until we get to see what those drunk tweets were all about,neutral
 U no that little prob with ur twitter that happen  that old pep resteraunt mayb this will help u fix it,positive
missing loverboy so much,negative
 Because pop culture is beautiful Also you cant pull weeds wrong I promise You can practice on my yard if you are nervous,positive
Wishing all MOMs a very Happy Mothers Day,positive
Cried my eyes out watching My Girl last period   hahah,negative
great party alenka  happy birthday chicky ,positive
this time i really need to shut it im going to sleep my head aches badly and i really cant take it,negative
the sun is shinning im off out,neutral
 lol I see what you did there,positive
 heh coincidence im a barnsley fan too  howd you track me down o,positive
Youtubes tubes appear to be clogging up somewhat today connection errors a plenty,negative
 sorry guys the WAVVES show was canceled they missed their flight,negative
and young oneslook what I foundbreakfast,neutral
Just got my heart ripped out  i love you guys,positive
going to my bffs haha but thats in like  hourssss sooooocalllll me actually darn i have hw,negative
 unfortunately I know I would like them  which is why I am avoiding them,neutral
 aww  cant wait till u get  Sydney D i missed out on tickets tho O ,neutral
 Thanks for the song YouÃ¯Â¿Â½re awesome  I can sing along all day,positive
lavish i told diamond to follow you and why u aitn share the starburst,neutral
 was jus so excited t c ur name,positive
These difficult situation force us to think about marrying a lovable girl,neutral
  you and I apparently  how are you,neutral
wishes he can just call her  blah it used to be so easy to move on wtf happened,negative
good morning tweetie world  have a great day everyone,positive
One of these times Im going to have the selfawareness NOT to ask one of the principle mourners at a wake how theyre doing,neutral
 Philly hasnt played it yet  You have to do something about that Please,positive
 yeah  when it goes wrong its the worst feeling ever,negative
just got up  Wheres the sun O,neutral
X sorry about that,negative
 yeah getting shows can be an interesting process  the key is following up at least thats what ive learned so far,positive
luca LOL  Im glad to see Im not the only one out there,positive
Sad that everyone is leaving me,negative
  hey hey hey b,neutral
Well its a good thing march wasnt very long and i didnt like itcuz its deleted Ugh,neutral
  Waitin on them  tell me whats the plan,neutral
 TAYLOR are you back in Nashville nowor LA well how was your trip did ya have fun love ya girly,positive
Oh snap kinda nuts right now   Ive told at least   Thanks babes,positive
 i love cobra starship  thanks for the suggestion,positive
 awwww wat i was gonna buy myself something pretty  nvm,neutral
after I said hi how are you she did at double take  left  it I should have let her look around first,negative
 the no tweeting guilt trip didnt stop you huh  I felt so bad,negative
My boyfriend just broke his wrist now he might need surgery  im so nervous,negative
 I agree keep it in Star Trek but make it commercially viable Cmon,positive
 My cats enjoy the sunbeams from the open windows  I think that counts,positive
Signing off Moms day tomorrow,neutral
Had a great weekend with One hanging with Nick  Brendon church this morning Cant believe Loretta won the Mothers Day raffle again,positive
  no one told me the mutual admiration society was meeting this morning LOL  Hi boys,negative
 is it true you have a part in Neighbours I have been brought up watching that showI wanna be on it,neutral
 did you run into someone I know this weekend,neutral
Is watching It takes Two such a classic lol,positive
Is listening to the new jonas brothers song,neutral
Sexxxy tiiiiiimmmmmmeeewhatever that means,neutral
im staying up to watch it,neutral
im still full from the buffet at palms  my stomach actually hurts ugh gluttony bites,negative
is feeling really sick,negative
 Pics Ah Ill probably see you at work at some point Hopefully  it grows out too much,positive
 I did for years and then moved over to an IBM compatible  Would love to have both on my desk   Can you call me a techie,positive
 play vanessa hudgens new songs plz or vfactory,neutral
 minutes to boarding  hours to home no window seat,negative
Happy Star Wars Day May the  be with you  via Nige the Goth,positive
Entered house searching mode yesterday we need to find an apartment in DÃ¯Â¿Â½sseldorf until the end of August this one was temporary,neutral
Im a lil sad looks like nomore brooklyn  a while WTF ,negative
So much to tellOnly blip is her immune system hasnt recoverednot yet a newborns Give it  more months  But thats nothing,negative
M ah knowing microsoft they could probby do it but would want to charge way too much extra for it,negative
is now going to see his very ill uncle on saturday and spend the night at his house as even more bad news has come up,negative
 soooo jelous of you right now,negative
 I work at a movie theatre in Toledo and Id let you come see it for free But its not in ,neutral
 and that prob wont happen,neutral
  I hope when youre calling this the shitshow you mean that in a good way because this will be fun,neutral
 Thank you,positive
also proof number  that I have no life  I have an imaginary boyfriend named Vince Its sad that my friends encourage me so,negative
Laying with lyndi on drive way Drinking tea Listenin to music Takin pictures Just a Chillin,positive
The sun is shining and Im stuck in work,negative
katieedwards I cant yet back Ive run out of texts  Ill ring you laters xoxo,negative
Come on man give me some slack,neutral
im celebrating my mother  and also celebrating my legacy as a woman of God,positive
Had a  Sunday relaxing enjoying the beautiful weather Good nite,positive
Exams are so stressful,negative
itsucks when everyone but the one i want to text me is texting me,negative
 woop rehearsing songs  Yep sounds even enough to me,positive
Dell  PcoverIP audio device Teradici is giving me a hard time in Linux Ubuntu Jaunty  Kernel isnt loading the sndhdaintel drv,negative
babysitting my hubby cam cam,neutral
 that would be great  thanks,positive
gutter Trent wore that shirt at my show,neutral
benson  Woohoo Well Done I started Macarenaing too,positive
Layin in bed awake Txtin my girl in vegas Wishin I didnt have to work and I was w her,negative
 Im gladsad that its not just memy iPhone  badoptus,neutral
 so havent seen any videos the last few days  hope everything is ok,neutral
Chillaxing in Hyde park,positive
extacy lol i know eric i wont delete you just people i dont really know and never talk and bands,neutral
 Im going to watch it now,neutral
at work missing my miami fam    carolina     more,negative
  sitting next to magicmoment,neutral
  As if teenagers need any more encouragement,neutral
Sickand no its not the swine flu atleast I hope not,negative
 Whoo hoo Chuck Although it is gloomy out today is a much better day,positive
Sitting waiting for dough to rise Theres something about it that calms me down Maybe the knowledge that Ill have cinnamon rolls soon,positive
Up early so washed and waxed the car Im sure the neighbours think Im mad I wash it nearly every week,neutral
 i want to comment but dont understand what youre saying,negative
Oh time to eat and make conversation with the domestic partner,neutral
 Made so many new friends on Twitter around USA Another bike across USA trip would be amazing to see people,positive
Please everyone to vote for me to become the next Maxim Coors Caddy girlonly takes a few minutes  ,neutral
 jet blue is okay I guess They cancel flights and dont have a lot of backup planes And no first class,negative
 Btw happy moms day to hannah and your mom and hans mom Yey Moms unite This is your day,positive
 Chabibi Its a long running joke I dont give a flying  if anyone follows me at all,neutral
Finally a Black Disney princess,positive
 I am like the most saddest person on jtv right now because you are not on,negative
 awwwwww i wish her to be safe while shes gone n hugs to u must of been hard to say goodbye,negative
  is easier this way in my phone I will twittpic from my pc later on I did it this morning with p Diddy pic,neutral
someone WOULD give a speech about loved ones in the hospital Stupid COMM class,negative
diiinner  its sooo cold right here D,neutral
 the end when they sing this is me and when they sing play my music,neutral
Good Morning twitters I am soooo tiredI really need  stay off of twitterLOL this  is taking over my lifeLOL,neutral
wish I could feel no pain   but its ok at least they like Brazil,positive
hoping i didnt fail english that would just be sad,positive
i miss dooooooodddddiiiieeee,negative
 Attach him to  after all mammals mammary glands will produce milk  Or may be formula,neutral
Warhammer  Space Marines officially announced only for  and   No luck for PC gamers,negative
ah i almost missed snl thanks twitterfriends,neutral
  im so sick  I fell over last night outside coz I was putting something in the bin,negative
Thats how you go from series to season The days of being an elite team are over in Dallas EPL Derby Day tomorrow Tell me what I miss,neutral
A singing girl Talented yeah Good to complain about No,positive
 the kid that got a second chance shudnt have mowgli didnt gutted,negative
  sounds like a challenge then  I can see it would be useful to be able explicitly  schedule threads,positive
 yes DONT FORGET the koala pics   Im pubquizzing tonight in the  if youre back in time Sinon mardi,neutral
Thanks to all who follow me   wish yall the best ,positive
   Thank you soooo much      Bella,positive
Good mornin everyone  Beautiful sunday for all the beautiful moms of ours Had my breakfast with the lady    Lets move on ,positive
 yum yum  I love quesadillasand wallpaper for that matter tooo,positive
addict yeah like super short  I guess Ill just have to hold my breath till Sunday,neutral
I want to play audition with Anna  mHcSMOOCH,neutral
Showered in icecold water Sweating now Means one thing Im sick,negative
Hmmmstrained my back  Hope its better tomorrow morning,neutral
just got back from the ER i cut myself while trying to cook a nice lunch   stiches on my right index finger talk about ouchie,negative
agh freaking out about going to Wales already  not packed,negative
spray tan  fail on legs and feet Ive been scrubbing them and feet look better but they looked awful this morning  Everywhere else  ok,negative
RachineA oh so you said you goodbyes and hugs  my dad left around  in the morning so I woke up to an empty house im pretty scared,negative
 Can you ask Ryan why he stopped following me on Twitter,negative
God I just want to sleep,neutral
 Awhhh age doesnt matter you awesome lady you,positive
getting ready for work,neutral
 Haha true  thankfully the regular keyboard does the job most of the time,positive
LOOPJAZZ  yess ez most bejÃ¯Â¿Â½n,neutral
 go to vegas but dont spend all ur money,neutral
I came home thinking that maybe there was something good to eat Apparently not,negative
new super power camping place   hr MAC  Springleaf Tower  still eating my fries,neutral
I cant go out when my heart is home sick  even if it is my bday family health comes ,neutral
